local,pin,area,district,state
Jaiganj S.O,202001,Aligarh,Aligarh,UTTAR PRADESH
Jalalpur B.O,202155,Aligarh,Aligarh,UTTAR PRADESH
Jallupur Sehore B.O,202002,Aligarh,Aligarh,UTTAR PRADESH
Jhijharka B.O,202125,Aligarh,Aligarh,UTTAR PRADESH
K G W Sasni S.O,202139,Aligarh,Hathras,UTTAR PRADESH
Kalai B.O,202125,Aligarh,Aligarh,UTTAR PRADESH
Kanya Gurukul B.O,204216,Aligarh,Hathras,UTTAR PRADESH
Kathera B.O,202170,Aligarh,Aligarh,UTTAR PRADESH
Kauriyaganj S.O,202129,Aligarh,Aligarh,UTTAR PRADESH
Kazimabad B.O,202282,NA,Aligarh,UTTAR PRADESH
Khair S.O,202138,Aligarh,Aligarh,UTTAR PRADESH
Khan Alampur B.O,202125,Aligarh,Aligarh,UTTAR PRADESH
Khera Sattu B.O,202135,Aligarh,Aligarh,UTTAR PRADESH
Kiratpur Nimana B.O,202140,NA,Aligarh,UTTAR PRADESH
Konchhor B.O,202002,Aligarh,Aligarh,UTTAR PRADESH
Kunwarpur B.O,204101,NA,Hathras,UTTAR PRADESH
Kutubour Amarpur B.O,202129,Aligarh,Aligarh,UTTAR PRADESH
Luheta Khurd B.O,204101,NA,Hathras,UTTAR PRADESH
Madhaula B.O,202143,Aligarh,Aligarh,UTTAR PRADESH
Madrak B.O,202150,Aligarh,Aligarh,UTTAR PRADESH
Mandanpur B.O,202121,Aligarh,Aligarh,UTTAR PRADESH
Medical College S.O (Aligarh),202002,Aligarh,Aligarh,UTTAR PRADESH
Musepur Jalal B.O,202150,Aligarh,Aligarh,UTTAR PRADESH
N C Kasimpur S.O,202127,Aligarh,Aligarh,UTTAR PRADESH
Naj Mandi S Rao S.O,204215,Aligarh,Hathras,UTTAR PRADESH
Naurangabad B.O,202001,Aligarh,Aligarh,UTTAR PRADESH
Orani Dalpatpur B.O,202280,Aligarh,Aligarh,UTTAR PRADESH
Pahari Pur B.O,202129,Aligarh,Aligarh,UTTAR PRADESH
Penth Gaon B.O,204213,Aligarh,Hathras,UTTAR PRADESH
Phusauli B.O,202129,Aligarh,Aligarh,UTTAR PRADESH
Sahara Khurd B.O,202124,Aligarh,Aligarh,UTTAR PRADESH
Sahnaul B.O,202282,NA,Aligarh,UTTAR PRADESH
Sarsol B.O,202002,Aligarh,Aligarh,UTTAR PRADESH
Satha B.O,202127,Aligarh,Aligarh,UTTAR PRADESH
Sawai Raghunathpur B.O,202138,Aligarh,Aligarh,UTTAR PRADESH
Sehri Madangarhi B.O,202123,Aligarh,Aligarh,UTTAR PRADESH
Shikharan B.O,202140,NA,Aligarh,UTTAR PRADESH
Sikharna B.O,202127,Aligarh,Aligarh,UTTAR PRADESH
Simrauthi B.O,202165,Aligarh,Aligarh,UTTAR PRADESH
Takipura B.O,202141,NA,Aligarh,UTTAR PRADESH
Talib Nagar B.O,202127,Aligarh,Aligarh,UTTAR PRADESH
Tappal S.O,202165,Aligarh,Aligarh,UTTAR PRADESH
Teothu B.O,202280,Aligarh,Aligarh,UTTAR PRADESH
Tilothi B.O,204216,Aligarh,Hathras,UTTAR PRADESH
Zafar Manzil B.O,202133,Aligarh,Aligarh,UTTAR PRADESH
Adaun B.O,202002,Aligarh,Aligarh,UTTAR PRADESH
Ahen B.O,204101,NA,Hathras,UTTAR PRADESH
Akhaipur B.O,204102,NA,Hathras,UTTAR PRADESH
Alampur Rani Barla B.O,202129,Aligarh,Aligarh,UTTAR PRADESH
Aligarh City S.O,202001,Aligarh,Aligarh,UTTAR PRADESH
Badhari Bujurg B.O,202134,Aligarh,Aligarh,UTTAR PRADESH
Bahadurpur Kota B.O,202122,Aligarh,Aligarh,UTTAR PRADESH
Bapandai B.O,204212,Aligarh,Hathras,UTTAR PRADESH
Basgoi B.O,204216,NA,Hathras,UTTAR PRADESH
Bastoi B.O,204215,Aligarh,Hathras,UTTAR PRADESH
Beethna B.O,202002,Aligarh,Aligarh,UTTAR PRADESH
Bistauli B.O,202170,Aligarh,Aligarh,UTTAR PRADESH
Bonai B.O,204212,Aligarh,Hathras,UTTAR PRADESH
Budha Gaon B.O,202134,Aligarh,Aligarh,UTTAR PRADESH
Bwarwana B.O,204212,Aligarh,Hathras,UTTAR PRADESH
Chandaus S.O,202132,Aligarh,Aligarh,UTTAR PRADESH
Chandpur Mirza B.O,204215,Aligarh,Aligarh,UTTAR PRADESH
Chherat B.O,202122,Aligarh,Aligarh,UTTAR PRADESH
Chhonda B.O,204216,Aligarh,Hathras,UTTAR PRADESH
Chilawati B.O,202142,Aligarh,Aligarh,UTTAR PRADESH
Daheli B.O,202126,Aligarh,Aligarh,UTTAR PRADESH
Dandesari B.O,204211,NA,Hathras,UTTAR PRADESH
Dayal Nagar S.O,202141,Aligarh,Aligarh,UTTAR PRADESH
Dedamai B.O,202002,Aligarh,Hathras,UTTAR PRADESH
Dinapur B.O,202133,Aligarh,Aligarh,UTTAR PRADESH
Gangapur B.O,204212,Aligarh,Hathras,UTTAR PRADESH
Gangcholi B.O,204101,NA,Hathras,UTTAR PRADESH
Godha B.O,202127,Aligarh,Aligarh,UTTAR PRADESH
Haranpur Kalan B.O,202133,Aligarh,Aligarh,UTTAR PRADESH
Harduaganj S.O,202125,Aligarh,Aligarh,UTTAR PRADESH
Hetalpur B.O,202137,Aligarh,Aligarh,UTTAR PRADESH
Hinsel B.O,202142,Aligarh,Aligarh,UTTAR PRADESH
Jamonka B.O,202141,Aligarh,Aligarh,UTTAR PRADESH
Jarara B.O,202138,Aligarh,Aligarh,UTTAR PRADESH
Kanau B.O,204212,Aligarh,Hathras,UTTAR PRADESH
Kanobi B.O,202134,Aligarh,Aligarh,UTTAR PRADESH
Kemthal B.O,202123,Aligarh,Aligarh,UTTAR PRADESH
Komari B.O,202139,Aligarh,Aligarh,UTTAR PRADESH
Kutchery S.O (Aligarh),202001,Aligarh,Aligarh,UTTAR PRADESH
Maisubhasgram B.O,202145,Aligarh,Aligarh,UTTAR PRADESH
Majhola B.O,202134,Aligarh,Aligarh,UTTAR PRADESH
Malviya Nagar S.O (Aligarh),202282,Aligarh,Aligarh,UTTAR PRADESH
Mandpur B.O,202133,Aligarh,Aligarh,UTTAR PRADESH
Manik Chowk S.O,202001,Aligarh,Aligarh,UTTAR PRADESH
Maur B.O,202137,Aligarh,Aligarh,UTTAR PRADESH
Paitra Nawabpur B.O,202133,Aligarh,Aligarh,UTTAR PRADESH
Pipari B.O,202131,Aligarh,Aligarh,UTTAR PRADESH
Pipoli B.O,202129,NA,Aligarh,UTTAR PRADESH
Punner B.O,204102,NA,Hathras,UTTAR PRADESH
Pureni B.O,202280,Aligarh,Aligarh,UTTAR PRADESH
Ratanpur Hussainpur B.O,204215,Aligarh,Hathras,UTTAR PRADESH
Salarpur B.O,202281,Aligarh,Aligarh,UTTAR PRADESH
Salempur B.O,204102,NA,Hathras,UTTAR PRADESH
Shahagarh B.O,202129,Aligarh,Aligarh,UTTAR PRADESH
Sikandarpur Kota B.O,202122,Aligarh,Aligarh,UTTAR PRADESH
Sikur B.O,202139,Aligarh,Aligarh,UTTAR PRADESH
Tuamai B.O,202121,Aligarh,Aligarh,UTTAR PRADESH
Tuksan B.O,204101,NA,Hathras,UTTAR PRADESH
Upperkot S.O,202001,Aligarh,Aligarh,UTTAR PRADESH
Usram B.O,202138,Aligarh,Aligarh,UTTAR PRADESH
Ahabaranpur B.O,204101,NA,Hathras,UTTAR PRADESH
Bamoti B.O,202138,Aligarh,Aligarh,UTTAR PRADESH
Bhamora Kalan B.O,202130,Aligarh,Aligarh,UTTAR PRADESH
Bhangra B.O,202145,Aligarh,Aligarh,UTTAR PRADESH
Bhemti B.O,202002,Aligarh,Aligarh,UTTAR PRADESH
Bhilet Ramnagar B.O,202129,NA,Aligarh,UTTAR PRADESH
Bhimpur B.O,202142,Aligarh,Aligarh,UTTAR PRADESH
Bhuraka B.O,204214,Aligarh,Hathras,UTTAR PRADESH
Bijauli S.O,202131,Aligarh,Aligarh,UTTAR PRADESH
Bonai B.O,202133,Aligarh,Aligarh,UTTAR PRADESH
Chharra S.O,202130,Aligarh,Aligarh,UTTAR PRADESH
Datawali B.O,202129,Aligarh,Aligarh,UTTAR PRADESH
Debthala B.O,202126,Aligarh,Aligarh,UTTAR PRADESH
Deopur B.O,202143,Aligarh,Aligarh,UTTAR PRADESH
Digsi B.O,202002,NA,Aligarh,UTTAR PRADESH
Gidauli B.O,202124,Aligarh,Aligarh,UTTAR PRADESH
Harautha B.O,202124,Aligarh,Aligarh,UTTAR PRADESH
Hastpur Chandfari B.O,202002,Aligarh,Aligarh,UTTAR PRADESH
I T I Road S.O,202001,Aligarh,Aligarh,UTTAR PRADESH
Jaidpura B.O,202165,Aligarh,Aligarh,UTTAR PRADESH
Jalalpur B.O,202137,Aligarh,Aligarh,UTTAR PRADESH
Jansoi B.O,204214,Aligarh,Hathras,UTTAR PRADESH
Kajrauth B.O,202124,Aligarh,Aligarh,UTTAR PRADESH
Kamalpur B.O,202002,Aligarh,Aligarh,UTTAR PRADESH
L C Hathras B.O,204101,Aligarh,Hathras,UTTAR PRADESH
Ladpur B.O,204101,NA,Hathras,UTTAR PRADESH
Manena Ummedpur B.O,202134,Aligarh,Aligarh,UTTAR PRADESH
Matroi B.O,202124,Aligarh,Aligarh,UTTAR PRADESH
Nagla Danda B.O,204212,Aligarh,Hathras,UTTAR PRADESH
Nagla Jhujhar B.O,202123,Aligarh,Aligarh,UTTAR PRADESH
Narona Akapur B.O,202125,Aligarh,Aligarh,UTTAR PRADESH
Pairi B.O,202136,NA,Aligarh,UTTAR PRADESH
Pala Kastali B.O,202122,Aligarh,Aligarh,UTTAR PRADESH
Palirajapur S.O,202150,Aligarh,Aligarh,UTTAR PRADESH
Parsara B.O,204101,NA,Hathras,UTTAR PRADESH
Pilkhana B.O,204102,Aligarh,Aligarh,UTTAR PRADESH
Rajawal B.O,202123,Aligarh,Aligarh,UTTAR PRADESH
Rehsupur B.O,202128,Aligarh,Aligarh,UTTAR PRADESH
Ruheri B.O,204101,NA,Hathras,UTTAR PRADESH
Sahajpur B.O,202141,Aligarh,Aligarh,UTTAR PRADESH
Salempur B.O,202124,Aligarh,Aligarh,UTTAR PRADESH
Salpur B.O,202141,Aligarh,Aligarh,UTTAR PRADESH
Sankra B.O,202133,Aligarh,Aligarh,UTTAR PRADESH
Shahabajpur B.O,202150,Aligarh,Aligarh,UTTAR PRADESH
Shankerpur B.O,204212,Aligarh,Hathras,UTTAR PRADESH
Shiwala B.O,202135,Aligarh,Aligarh,UTTAR PRADESH
Sikandra Rao S.O,204215,Aligarh,Hathras,UTTAR PRADESH
Sokhana B.O,204101,NA,Hathras,UTTAR PRADESH
Somna S.O,202143,Aligarh,Aligarh,UTTAR PRADESH
Sudama Ka Bas B.O,202145,Aligarh,Aligarh,UTTAR PRADESH
Sumera B.O,202126,Aligarh,Aligarh,UTTAR PRADESH
Untasani B.O,202165,Aligarh,Aligarh,UTTAR PRADESH
Abhaipur Behlolpur B.O,202133,Aligarh,Aligarh,UTTAR PRADESH
Andla B.O,202140,NA,Aligarh,UTTAR PRADESH
Arnot B.O,204215,Aligarh,Hathras,UTTAR PRADESH
Badholi B.O,202282,NA,Aligarh,UTTAR PRADESH
Bain Kalan B.O,202130,NA,Aligarh,UTTAR PRADESH
Bajauta B.O,202137,Aligarh,Aligarh,UTTAR PRADESH
Baranadi B.O,202128,Aligarh,Aligarh,UTTAR PRADESH
Barauli B.O,202126,Aligarh,Aligarh,UTTAR PRADESH
Basai Babas B.O,204215,Aligarh,Hathras,UTTAR PRADESH
Basai Kazi B.O,202150,Aligarh,Aligarh,UTTAR PRADESH
Bembirpur B.O,202281,Aligarh,Aligarh,UTTAR PRADESH
Beswan S.O,202145,Aligarh,Aligarh,UTTAR PRADESH
Bhagatpur B.O,202132,NA,Aligarh,UTTAR PRADESH
Bhankri Niranjankot B.O,202002,Aligarh,Aligarh,UTTAR PRADESH
Bijaigarh S.O,202170,Aligarh,Aligarh,UTTAR PRADESH
Chandaua Goverdhanapur B.O,202131,Aligarh,Aligarh,UTTAR PRADESH
Chhabilpur B.O,202280,Aligarh,Aligarh,UTTAR PRADESH
Chhalesar B.O,202127,Aligarh,Aligarh,UTTAR PRADESH
Dadon S.O,202133,Aligarh,Aligarh,UTTAR PRADESH
Dariyapur B.O,204102,NA,Hathras,UTTAR PRADESH
Deorau B.O,202143,Aligarh,Aligarh,UTTAR PRADESH
Dhantauli B.O,202123,Aligarh,Aligarh,UTTAR PRADESH
Dodhpur S.O,202001,NA,Aligarh,UTTAR PRADESH
Gabhana S.O,202136,Aligarh,Aligarh,UTTAR PRADESH
Gandhi Eye Hospital S.O,202001,Aligarh,Aligarh,UTTAR PRADESH
Garhi Hirasingh B.O,204211,NA,Hathras,UTTAR PRADESH
Guarau Kalan B.O,204212,Aligarh,Hathras,UTTAR PRADESH
Gudmai Misripur B.O,204215,Aligarh,Hathras,UTTAR PRADESH
Gurusena B.O,202002,Aligarh,Aligarh,UTTAR PRADESH
I A Hathras S.O,204101,Aligarh,Hathras,UTTAR PRADESH
Iglas Thana B.O,202124,Aligarh,Aligarh,UTTAR PRADESH
Industrial Area Aligarh S.O,202001,Aligarh,Aligarh,UTTAR PRADESH
Izzatpur B.O,202280,Aligarh,Aligarh,UTTAR PRADESH
Jalali S.O,202128,Aligarh,Aligarh,UTTAR PRADESH
Jamaun B.O,202145,Aligarh,Aligarh,UTTAR PRADESH
Jattari S.O,202137,Aligarh,Aligarh,UTTAR PRADESH
Jatwar B.O,202145,Aligarh,Aligarh,UTTAR PRADESH
Jawar B.O,204213,Aligarh,Hathras,UTTAR PRADESH
Jiroli Kalan B.O,204215,Aligarh,Hathras,UTTAR PRADESH
Kachaura S.O,204211,Aligarh,Hathras,UTTAR PRADESH
Kalwa B.O,202002,Aligarh,Aligarh,UTTAR PRADESH
Kalyanpur B.O,202280,Aligarh,Aligarh,UTTAR PRADESH
Kapasiya B.O,204215,Aligarh,Hathras,UTTAR PRADESH
Karas B.O,204101,NA,Hathras,UTTAR PRADESH
Kasimpur S.O,202127,Aligarh,Aligarh,UTTAR PRADESH
Khera Bujurg B.O,202127,Aligarh,Aligarh,UTTAR PRADESH
Khirsauli B.O,202145,Aligarh,Aligarh,UTTAR PRADESH
Klyanpur B.O,202282,NA,Aligarh,UTTAR PRADESH
Koka B.O,204101,NA,Hathras,UTTAR PRADESH
Korah Rustampur B.O,202136,Aligarh,Aligarh,UTTAR PRADESH
M M Hathras S.O,204101,Aligarh,Hathras,UTTAR PRADESH
Madanpur B.O,202135,Aligarh,Aligarh,UTTAR PRADESH
Mahua B.O,202002,Aligarh,Aligarh,UTTAR PRADESH
Mirpur Khas B.O,202155,Aligarh,Aligarh,UTTAR PRADESH
Nagla Birkhu B.O,202123,Aligarh,Aligarh,UTTAR PRADESH
Nagla Padam B.O,202132,Aligarh,Aligarh,UTTAR PRADESH
Nagla Veer Sahai B.O,204214,Aligarh,Hathras,UTTAR PRADESH
Narupura B.O,202133,Aligarh,Aligarh,UTTAR PRADESH
Northa Isepur B.O,204211,NA,Hathras,UTTAR PRADESH
Pachawari B.O,202123,Aligarh,Aligarh,UTTAR PRADESH
Paindapur B.O,202123,Aligarh,Aligarh,UTTAR PRADESH
Pala Chand B.O,202138,Aligarh,Aligarh,UTTAR PRADESH
Pateni B.O,204213,Aligarh,Hathras,UTTAR PRADESH
Pempur B.O,202137,Aligarh,Aligarh,UTTAR PRADESH
Rajpur B.O,202141,Aligarh,Aligarh,UTTAR PRADESH
Rati Ka Nagla B.O,204212,Aligarh,Hathras,UTTAR PRADESH
Rukhala B.O,202134,Aligarh,Aligarh,UTTAR PRADESH
Sasni Gate B.O,202001,Aligarh,Aligarh,UTTAR PRADESH
Suhawali B.O,202121,Aligarh,Aligarh,UTTAR PRADESH
Sujanpur B.O,202141,Aligarh,Aligarh,UTTAR PRADESH
Sunpahar B.O,202130,Aligarh,Aligarh,UTTAR PRADESH
Tati Dadia B.O,204215,Aligarh,Hathras,UTTAR PRADESH
Udaipur B.O,202142,Aligarh,Aligarh,UTTAR PRADESH
Utra B.O,202129,Aligarh,Aligarh,UTTAR PRADESH
Akrabad S.O,202121,Aligarh,Aligarh,UTTAR PRADESH
Aligarh H.O,202001,Aligarh,Aligarh,UTTAR PRADESH
Amritpur B.O,202132,Aligarh,Aligarh,UTTAR PRADESH
Arrana B.O,202138,Aligarh,Aligarh,UTTAR PRADESH
Asroi B.O,204213,Aligarh,Aligarh,UTTAR PRADESH
Atrauli Ro R.S. B.O,202282,NA,Aligarh,UTTAR PRADESH
Atrauli S.O,202280,Aligarh,Aligarh,UTTAR PRADESH
Badesara B.O,202131,Aligarh,Aligarh,UTTAR PRADESH
Bamani B.O,202138,Aligarh,Aligarh,UTTAR PRADESH
Barla B.O,202129,NA,Aligarh,UTTAR PRADESH
Bhaiyan B.O,202124,Aligarh,Aligarh,UTTAR PRADESH
Bhankri Ahiwasi B.O,202002,Aligarh,Aligarh,UTTAR PRADESH
Bhikampur B.O,202130,Aligarh,Aligarh,UTTAR PRADESH
Bilona Chitsari B.O,202134,Aligarh,Aligarh,UTTAR PRADESH
Deta Khurd B.O,202155,Aligarh,Aligarh,UTTAR PRADESH
Fatehgarhi B.O,202135,Aligarh,Aligarh,UTTAR PRADESH
G C Sasni S.O,204216,Aligarh,Hathras,UTTAR PRADESH
Gomat S.O,202135,Aligarh,Aligarh,UTTAR PRADESH
Gorai B.O,202145,Aligarh,Aligarh,UTTAR PRADESH
Jamuna B.O,202282,NA,Aligarh,UTTAR PRADESH
Jirauli B.O,202133,Aligarh,Aligarh,UTTAR PRADESH
Kalua Bhilet B.O,202124,Aligarh,Aligarh,UTTAR PRADESH
Karanpur B.O,202141,Aligarh,Aligarh,UTTAR PRADESH
Khandua B.O,202133,Aligarh,Aligarh,UTTAR PRADESH
Kota B.O,204213,Aligarh,Hathras,UTTAR PRADESH
Lehra B.O,202133,Aligarh,Aligarh,UTTAR PRADESH
Maho B.O,204212,Aligarh,Hathras,UTTAR PRADESH
Majupur B.O,202140,NA,Aligarh,UTTAR PRADESH
Malikpura B.O,202150,Aligarh,Aligarh,UTTAR PRADESH
Manti Basai B.O,202123,Aligarh,Aligarh,UTTAR PRADESH
Mau Chirayal B.O,204215,Aligarh,Hathras,UTTAR PRADESH
Mendamai B.O,204214,Aligarh,Hathras,UTTAR PRADESH
Mendu B.O,202121,Aligarh,Hathras,UTTAR PRADESH
Mohariya B.O,204216,Aligarh,Hathras,UTTAR PRADESH
Mohkampur Garia B.O,202145,Aligarh,Aligarh,UTTAR PRADESH
Mohreni B.O,202124,Aligarh,Aligarh,UTTAR PRADESH
Mukandpur B.O,202002,Aligarh,Aligarh,UTTAR PRADESH
Nagaria Patti B.O,204214,Aligarh,Hathras,UTTAR PRADESH
Nagla Devi B.O,202002,Aligarh,Aligarh,UTTAR PRADESH
Panethi B.O,202002,Aligarh,Aligarh,UTTAR PRADESH
Parki B.O,202127,Aligarh,Aligarh,UTTAR PRADESH
Pora B.O,204214,Aligarh,Hathras,UTTAR PRADESH
Rajatau B.O,202131,Aligarh,Aligarh,UTTAR PRADESH
Ramghat Road S.O,202001,Aligarh,Aligarh,UTTAR PRADESH
Rudayan B.O,204216,Aligarh,Hathras,UTTAR PRADESH
Sarai Khirni S.O,202001,Aligarh,Aligarh,UTTAR PRADESH
Sasni S.O,204216,Aligarh,Hathras,UTTAR PRADESH
Shadipur B.O,202137,Aligarh,Aligarh,UTTAR PRADESH
Shahpur Madrak B.O,202150,Aligarh,Aligarh,UTTAR PRADESH
Subhash Road S.O (Aligarh),202001,Aligarh,Aligarh,UTTAR PRADESH
Sujawalpur B.O,204211,Aligarh,Hathras,UTTAR PRADESH
Tamotia B.O,202145,Aligarh,Aligarh,UTTAR PRADESH
Tehra B.O,204101,NA,Hathras,UTTAR PRADESH
Tochhigarh B.O,204101,Aligarh,Hathras,UTTAR PRADESH
Umri B.O,202141,Aligarh,Aligarh,UTTAR PRADESH
Aisi B.O,202002,NA,Aligarh,UTTAR PRADESH
Aligarh Dairy Farm S.O,202122,Aligarh,Aligarh,UTTAR PRADESH
Aligarh Muslim University S.O,202002,Aligarh,Aligarh,UTTAR PRADESH
Allahdadpur Aisi B.O,202002,Aligarh,Aligarh,UTTAR PRADESH
Arjunpur B.O,204101,NA,Hathras,UTTAR PRADESH
Bankner B.O,202135,Aligarh,Aligarh,UTTAR PRADESH
Bannadevi S.O,202001,NA,Aligarh,UTTAR PRADESH
Baraula B.O,202126,Aligarh,Aligarh,UTTAR PRADESH
Barotha B.O,202125,Aligarh,Aligarh,UTTAR PRADESH
Basgoi B.O,204214,Aligarh,Hathras,UTTAR PRADESH
Bazidpur B.O,204215,Aligarh,Hathras,UTTAR PRADESH
Bena B.O,202165,Aligarh,Aligarh,UTTAR PRADESH
Bhadesi B.O,202002,Aligarh,Aligarh,UTTAR PRADESH
Bhavigarh B.O,202125,Aligarh,Aligarh,UTTAR PRADESH
Bhojpur Nuri B.O,202281,Aligarh,Aligarh,UTTAR PRADESH
Bisara B.O,202138,Aligarh,Aligarh,UTTAR PRADESH
Budhansi B.O,202125,Aligarh,Aligarh,UTTAR PRADESH
Chakathal B.O,202281,Aligarh,Aligarh,UTTAR PRADESH
Changeri B.O,202128,Aligarh,Aligarh,UTTAR PRADESH
Daupur B.O,202126,Aligarh,Aligarh,UTTAR PRADESH
Dhanipur B.O,202002,Aligarh,Aligarh,UTTAR PRADESH
Dudhma B.O,202131,Aligarh,Aligarh,UTTAR PRADESH
Gadrana B.O,202150,Aligarh,Aligarh,UTTAR PRADESH
Ganthri Shahpur B.O,204211,NA,Hathras,UTTAR PRADESH
Gehtoli Nirmal B.O,202131,Aligarh,Aligarh,UTTAR PRADESH
Ginoli Kishanpur B.O,204215,Aligarh,Hathras,UTTAR PRADESH
Gonda S.O,202123,Aligarh,Aligarh,UTTAR PRADESH
Gopi B.O,204215,Aligarh,Aligarh,UTTAR PRADESH
Gurushikharan B.O,202125,Aligarh,Aligarh,UTTAR PRADESH
Hasona Jagmohanpur B.O,202129,Aligarh,Aligarh,UTTAR PRADESH
Hathras City S.O,204101,Aligarh,Hathras,UTTAR PRADESH
Hathras Jn RS S.O,204102,Aligarh,Hathras,UTTAR PRADESH
Hathras S.O,204101,Aligarh,Hathras,UTTAR PRADESH
Iglas S.O,202124,Aligarh,Aligarh,UTTAR PRADESH
Jatoi B.O,204213,Aligarh,Hathras,UTTAR PRADESH
Kailora B.O,204102,NA,Hathras,UTTAR PRADESH
Kaser B.O,202133,Aligarh,Aligarh,UTTAR PRADESH
Kaseru B.O,202132,NA,Aligarh,UTTAR PRADESH
Khair Mandi B.O,202001,Aligarh,Aligarh,UTTAR PRADESH
Khera Narain Singh B.O,202121,Aligarh,Aligarh,UTTAR PRADESH
Khurrampur B.O,202121,Aligarh,Aligarh,UTTAR PRADESH
Lakhnu B.O,204101,NA,Hathras,UTTAR PRADESH
Mahavir Ganj S.O,202001,Aligarh,Aligarh,UTTAR PRADESH
Mehrawal B.O,202002,Aligarh,Aligarh,UTTAR PRADESH
Nahal B.O,202131,Aligarh,Aligarh,UTTAR PRADESH
Naugawan B.O,202134,Aligarh,Aligarh,UTTAR PRADESH
Nayaganj Hathras S.O,204101,Aligarh,Hathras,UTTAR PRADESH
Ogipur B.O,202132,Aligarh,Aligarh,UTTAR PRADESH
Palsera B.O,202137,Aligarh,Aligarh,UTTAR PRADESH
Pipalgaon B.O,204211,Aligarh,Hathras,UTTAR PRADESH
Purdilpur S.O,204214,Aligarh,Hathras,UTTAR PRADESH
Rajmau B.O,202133,Aligarh,Aligarh,UTTAR PRADESH
Rampur Chandyana B.O,202133,Aligarh,Aligarh,UTTAR PRADESH
Rampur Shahpur B.O,202142,Aligarh,Aligarh,UTTAR PRADESH
Ranjeet Garhi B.O,202141,Aligarh,Aligarh,UTTAR PRADESH
Sathini B.O,202145,Aligarh,Aligarh,UTTAR PRADESH
Siroli B.O,202130,Aligarh,Aligarh,UTTAR PRADESH
Siya Khas B.O,202122,Aligarh,Aligarh,UTTAR PRADESH
Songra B.O,202126,Aligarh,Aligarh,UTTAR PRADESH
Sudeshpur B.O,202132,Aligarh,Aligarh,UTTAR PRADESH
Susayat Kalan B.O,204216,Aligarh,Hathras,UTTAR PRADESH
Tamkoli B.O,202136,Aligarh,Aligarh,UTTAR PRADESH
Tatarpur B.O,202150,Aligarh,Aligarh,UTTAR PRADESH
Utwara B.O,202138,Aligarh,Aligarh,UTTAR PRADESH
Veernagar B.O,204101,NA,Hathras,UTTAR PRADESH
Baghraya B.O,204102,NA,Hathras,UTTAR PRADESH
Band Abdulhamipur B.O,204212,Aligarh,Hathras,UTTAR PRADESH
Bardwari B.O,204213,Aligarh,Hathras,UTTAR PRADESH
Bharatpur B.O,202141,Aligarh,Aligarh,UTTAR PRADESH
Bhatikara B.O,204211,Aligarh,Hathras,UTTAR PRADESH
Bhenkuri B.O,204214,Aligarh,Hathras,UTTAR PRADESH
Chhadawali B.O,202125,Aligarh,Aligarh,UTTAR PRADESH
Chhonk B.O,202170,Aligarh,Aligarh,UTTAR PRADESH
D S College S.O,202001,Aligarh,Aligarh,UTTAR PRADESH
Delhi Gate S.O (Aligarh),202001,Aligarh,Aligarh,UTTAR PRADESH
Form Press S.O,202001,NA,Aligarh,UTTAR PRADESH
Gangiri S.O,202134,Aligarh,Aligarh,UTTAR PRADESH
Hatisa Bhagwantpur B.O,204101,NA,Hathras,UTTAR PRADESH
Jatrauli B.O,202137,Aligarh,Aligarh,UTTAR PRADESH
Jiroli B.O,204216,Aligarh,Hathras,UTTAR PRADESH
Jiroli Dor B.O,202140,NA,Aligarh,UTTAR PRADESH
Jiroli Hira Singh B.O,202121,Aligarh,Aligarh,UTTAR PRADESH
Jogia B.O,204101,NA,Hathras,UTTAR PRADESH
Kandauli B.O,202136,Aligarh,Aligarh,UTTAR PRADESH
Kanoi B.O,202136,Aligarh,Aligarh,UTTAR PRADESH
Karanpur B.O,202142,NA,Aligarh,UTTAR PRADESH
Khandeha B.O,202137,Aligarh,Aligarh,UTTAR PRADESH
Kilpur B.O,202141,Aligarh,Aligarh,UTTAR PRADESH
Ladhaua B.O,202121,Aligarh,Aligarh,UTTAR PRADESH
Lodha S.O,202140,Aligarh,Aligarh,UTTAR PRADESH
Lohgarh B.O,202281,Aligarh,Aligarh,UTTAR PRADESH
Madholi B.O,202280,Aligarh,Aligarh,UTTAR PRADESH
Malav B.O,202165,Aligarh,Aligarh,UTTAR PRADESH
Manai B.O,202121,Aligarh,Aligarh,UTTAR PRADESH
Mangalayatan University S.O,202146,Aligarh,Aligarh,UTTAR PRADESH
Mehgora B.O,202155,Aligarh,Aligarh,UTTAR PRADESH
Mohrena B.O,202136,Aligarh,Aligarh,UTTAR PRADESH
Nah B.O,202133,Aligarh,Aligarh,UTTAR PRADESH
Panehra B.O,202131,Aligarh,Aligarh,UTTAR PRADESH
Parhil B.O,204216,Aligarh,Hathras,UTTAR PRADESH
Pata Khas B.O,204213,Aligarh,Hathras,UTTAR PRADESH
Pilona B.O,202126,Aligarh,Aligarh,UTTAR PRADESH
Pothi B.O,202136,Aligarh,Aligarh,UTTAR PRADESH
Quarsi B.O,202002,Aligarh,Aligarh,UTTAR PRADESH
Rait B.O,202140,NA,Aligarh,UTTAR PRADESH
Rajpur Khas B.O,202133,Aligarh,Aligarh,UTTAR PRADESH
Ramnagar B.O,202133,Aligarh,Aligarh,UTTAR PRADESH
Rani B.O,202280,Atrauli,Aligarh,UTTAR PRADESH
Rasal Ganj S.O,202001,Aligarh,Aligarh,UTTAR PRADESH
